id,updated,output_folder
https://domo-support.domo.com/s/article/360043429913,2023-05-01 15:59:47.996737,../../raw_kb_v2\article\360043429913
https://domo-support.domo.com/s/topic/0TO5w000000ZamsGAC,2023-05-01 15:59:50.081875,../../raw_kb_v2\category\0TO5w000000ZamsGAC
https://domo-support.domo.com/s/knowledge-base,2023-05-01 15:59:52.285720,../../raw_kb_v2\home\knowledge-base
https://domo-support.domo.com/s/topic/0TO5w000000ZamwGAC,2023-04-30 19:29:32.779706,../../raw_kb_v2\category\0TO5w000000ZamwGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZammGAC,2023-04-30 19:29:12.616667,../../raw_kb_v2\category\0TO5w000000ZammGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZamzGAC,2023-04-30 19:29:15.739380,../../raw_kb_v2\category\0TO5w000000ZamzGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZamoGAC,2023-04-30 19:29:17.800428,../../raw_kb_v2\category\0TO5w000000ZamoGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZamnGAC,2023-04-30 19:29:20.622855,../../raw_kb_v2\category\0TO5w000000ZamnGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZamlGAC,2023-04-30 19:29:22.804322,../../raw_kb_v2\category\0TO5w000000ZamlGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZamqGAC,2023-04-30 19:29:24.289560,../../raw_kb_v2\category\0TO5w000000ZamqGAC
https://domo-support.domo.com/s/topic/0TO5w000000Zan0GAC,2023-04-30 19:29:25.723767,../../raw_kb_v2\category\0TO5w000000Zan0GAC
https://domo-support.domo.com/s/topic/0TO5w000000Zan2GAC,2023-04-30 19:29:27.089298,../../raw_kb_v2\category\0TO5w000000Zan2GAC
https://domo-support.domo.com/s/topic/0TO5w000000ZampGAC,2023-04-30 19:29:28.440299,../../raw_kb_v2\category\0TO5w000000ZampGAC
https://domo-support.domo.com/s/topic/0TO5w000000Zan1GAC,2023-04-30 19:29:29.886880,../../raw_kb_v2\category\0TO5w000000Zan1GAC
https://domo-support.domo.com/s/topic/0TO5w000000ZamyGAC,2023-04-30 19:29:31.408090,../../raw_kb_v2\category\0TO5w000000ZamyGAC
https://domo-support.domo.com/s/topic/0TO5w000000Zan7GAC,2023-04-30 19:29:34.183746,../../raw_kb_v2\category\0TO5w000000Zan7GAC
https://domo-support.domo.com/s/topic/0TO5w000000ZanNGAS,2023-04-30 19:29:35.517904,../../raw_kb_v2\category\0TO5w000000ZanNGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZanlGAC,2023-04-30 19:29:36.959516,../../raw_kb_v2\category\0TO5w000000ZanlGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZanxGAC,2023-04-30 19:29:38.403516,../../raw_kb_v2\category\0TO5w000000ZanxGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZanCGAS,2023-04-30 19:29:39.810793,../../raw_kb_v2\category\0TO5w000000ZanCGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZanmGAC,2023-04-30 19:29:41.217355,../../raw_kb_v2\category\0TO5w000000ZanmGAC
https://domo-support.domo.com/s/topic/0TO5w000000Zao5GAC,2023-04-30 19:29:42.645697,../../raw_kb_v2\category\0TO5w000000Zao5GAC
https://domo-support.domo.com/s/topic/0TO5w000000ZaoIGAS,2023-04-30 19:29:44.001145,../../raw_kb_v2\category\0TO5w000000ZaoIGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZaoLGAS,2023-04-30 19:29:45.382124,../../raw_kb_v2\category\0TO5w000000ZaoLGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZanBGAS,2023-04-30 19:29:46.766046,../../raw_kb_v2\category\0TO5w000000ZanBGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZankGAC,2023-04-30 19:29:48.157888,../../raw_kb_v2\category\0TO5w000000ZankGAC
